Date,gold_close,gold_high,gold_low,gold_open,gold_volume,dxy_close,dxy_high,dxy_low,dxy_open,vix_close,vix_high,vix_low,vix_open,tnx_close,tnx_high,tnx_low,tnx_open,gold_return_next_day,target_binary,target_multiclass,gold_return,dxy_return,vix_return,tnx_return,gold_range,dxy_range,vix_range,tnx_range,gold_open_close_return,dxy_open_close_return,vix_open_close_return,tnx_open_close_return,gold_ma_5,gold_ma_20,gold_close_vs_ma_5,gold_close_vs_ma_20
2015-01-30,1278.5,1284.300048828125,1257.0,1258.0,8626.0,94.8000030517578,94.91999816894533,94.43000030517578,94.66000366210938,20.96999931335449,22.18000030517578,19.239999771118164,20.229999542236328,1.6749999523162842,1.7070000171661377,1.6510000228881836,1.7020000219345093,-0.0017990213751466562,0,0,0.019049916211659745,0.0002110600624452008,0.11780378771372613,-0.04340382203626214,27.300048828125,0.48999786376954546,2.940000534057617,0.0559999942779541,0.01629570747217806,0.0014789708877273413,0.036579327131134334,-0.015863730476064604,1278.0199951171876,1252.9249938964845,0.0003755847988656822,0.020412240340085767
2015-02-02,1276.199951171875,1284.0999755859375,1266.0,1284.0999755859375,1654.0,94.5,94.87999725341795,94.37000274658205,94.83999633789062,19.43000030517578,22.809999465942383,19.350000381469727,20.88999938964844,1.6729999780654907,1.712000012397766,1.6540000438690186,1.6740000247955322,-0.012929008487148756,0,-1,-0.0017990213751466477,-0.0031645890516902586,-0.07343820021958603,-0.0011940145120766799,18.0999755859375,0.5099945068359091,3.4599990844726562,0.05799996852874734,-0.006152187963758587,-0.00358494676317052,-0.06988985768932711,-0.0005973994714627634,1277.37998046875,1257.434991455078,-0.0009237887824436272,0.014923204654168673
2015-02-03,1259.699951171875,1284.699951171875,1255.300048828125,1273.5,2380.0,93.5999984741211,94.6999969482422,93.25,94.56999969482422,17.329999923706055,18.88999938964844,17.200000762939453,18.40999984741211,1.7799999713897705,1.784999966621399,1.7170000076293943,1.7170000076293943,0.0032548208424043813,1,1,-0.01292900848714873,-0.009523825670676223,-0.10808030614957465,0.06395696038681664,29.39990234375,1.4499969482422017,1.689998626708988,0.06799995899200462,-0.010836316315763643,-0.010256965462972428,-0.05866376603245166,0.03669188321516561,1270.97998046875,1260.2249877929687,-0.008875064493710446,-0.00041662133839545656
2015-02-04,1263.800048828125,1271.5999755859375,1256.800048828125,1262.0,668.0,93.98999786376952,94.52999877929688,93.61000061035156,93.73999786376952,18.32999992370605,18.3799991607666,16.81999969482422,17.81999969482422,1.7970000505447388,1.8459999561309812,1.7829999923706057,1.8209999799728396,-0.001424314573966126,0,0,0.00325482084240436,0.004166660213742013,0.0577034047549001,0.009550606420344554,14.7999267578125,0.9199981689453125,1.5599994659423828,0.06299996376037553,0.0014263461395602219,0.002666951202231944,0.028619541953749914,-0.013179533054392878,1266.5599853515625,1262.4499877929688,-0.0021790807820850763,0.0010693976380928586
2015-02-05,1262.0,1272.5999755859375,1257.800048828125,1271.800048828125,133.0,94.6999969482422,94.76000213623048,93.5199966430664,93.5999984741211,16.850000381469727,17.43000030517578,16.670000076293945,17.290000915527344,1.815000057220459,1.8289999961853027,1.787999987602234,1.7999999523162842,-0.022266224711519414,0,-1,-0.001424314573966079,0.007553985536862928,-0.08074192844497796,0.010016697924000395,14.7999267578125,1.2400054931640767,0.7600002288818359,0.041000008583068626,-0.007705652187350568,0.011752120641596378,-0.025448265515270924,0.00833339183418994,1268.039990234375,1265.0199890136719,-0.004763249014929386,-0.0023873053705867064
2015-02-06,1233.9000244140625,1267.5999755859375,1228.0,1265.0,432.0,94.6999969482422,94.76000213623048,93.5199966430664,93.5999984741211,17.290000915527344,18.739999771118164,16.059999465942383,16.290000915527344,1.937999963760376,1.9529999494552608,1.8049999475479128,1.8179999589920044,0.005592044961129723,1,1,-0.0222662247115194,0.0,0.026112790747559567,0.06776854141166377,39.5999755859375,1.2400054931640767,2.6800003051757812,0.14800000190734797,-0.0245849609375,0.011752120641596378,0.06138735075495407,0.06600660477182076,1259.1199951171875,1266.294989013672,-0.020029838935865484,-0.025582478712043378
2015-02-09,1240.800048828125,1242.300048828125,1235.4000244140625,1237.5,319.0,94.4499969482422,94.87999725341795,94.36000061035156,94.68000030517578,18.549999237060547,19.280000686645508,18.209999084472656,19.15999984741211,1.9479999542236328,1.950000047683716,1.902999997138977,1.9220000505447388,-0.007414629980774517,0,-1,0.00559204496112975,-0.002639915607775989,0.07287439299101806,0.005159953895898628,6.9000244140625,0.519996643066392,1.0700016021728516,0.04700005054473899,0.0026667061237373737,-0.00242927076671129,-0.03183719286062279,0.013527524971461409,1252.0400146484376,1267.5349914550782,-0.00897732156225748,-0.02109207462293609
2015-02-10,1231.5999755859375,1245.0,1231.199951171875,1237.5,231.0,94.76000213623048,94.87999725341795,94.4000015258789,94.5199966430664,17.229999542236328,18.36000061035156,16.969999313354492,17.719999313354492,1.991000056266785,2.0160000324249268,1.968999981880188,2.013999938964844,-0.01023057472857047,0,-1,-0.0074146299807744676,0.003282214907409209,-0.07115901612475684,0.022073974873520807,13.800048828125,0.4799957275390483,1.3900012969970668,0.04700005054473877,-0.004767696496212121,0.0025392033610665866,-0.027652358358099982,-0.01142000168574026,1246.42001953125,1267.4799926757812,-0.011890088183023624,-0.0283081526313463
2015-02-11,1219.0,1237.4000244140625,1219.0,1233.300048828125,102.0,94.98999786376952,95.12000274658205,94.63999938964844,94.70999908447266,16.959999084472656,17.809999465942383,16.81999969482422,17.43000030517578,1.9880000352859497,2.025000095367432,1.9700000286102293,1.9830000400543213,0.0009023589712366695,1,0,-0.010230574728570474,0.0024271393241253048,-0.015670369410156537,-0.0015067910075604596,18.4000244140625,0.48000335693360796,0.9899997711181641,0.055000066757202815,-0.011594947102866678,0.0029563803400222558,-0.02696507243109799,0.002521429717919446,1237.460009765625,1266.714990234375,-0.014917661677908582,-0.03766829208008852
2015-02-12,1220.0999755859375,1229.800048828125,1217.9000244140625,1217.9000244140625,99.0,94.08999633789062,94.97000122070312,93.9800033569336,94.88999938964844,15.34000015258789,16.469999313354492,15.279999732971191,16.389999389648438,1.9859999418258667,2.039999961853028,1.9589999914169312,2.032999992370605,0.0052454917974971435,1,1,0.0009023589712366942,-0.009474697822076328,-0.09551881010229057,-0.0010060832115605933,11.9000244140625,0.9899978637695312,1.1899995803833008,0.08099997043609664,0.0018063479167211669,-0.008430846842697787,-0.06406340916179065,-0.023118568972513045,1229.0800048828125,1265.9999877929688,-0.0073063016737720445,-0.03625593416240807
